Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax
Desert Mercenary	Off-Normal	0	8	338	2	1	65	198	merca201	merca221	350	110	924	39	705	27	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	PalMercEXST3X	30	Jab	14	116	4	18	0	Blessed Aim	1	10	0	18	0																									5	15	2	50000
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	41	198	merca201	merca221	7900	120	345	24	246	18	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	PalMercEXST4X	30	Jab	14	120	4	9	10	Thorns	1	10	0	5	10																									5	15	2	50000
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	65	198	merca201	merca221	7900	120	885	39	678	27	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	PalMercEXST4X	30	Jab	14	144	4	17	10	Thorns	1	10	0	13	0																									5	15	2	50000
Desert Mercenary	Def-Nightmare	0	10	338	2	2	41	198	merca201	merca221	7900	120	345	24	246	18	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	PalMercExST1X	30	Jab	14	120	4	9	10	Holy Freeze	1	10	0	6	10																									5	15	2	50000
Desert Mercenary	Def-Nightmare	0	10	338	2	2	65	198	merca201	merca221	7900	120	885	39	678	27	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	PalMercExST1X	30	Jab	14	144	4	17	0	Holy Freeze	1	10	0	14	0																									5	15	2	50000
Desert Mercenary	Off-Nightmare	0	11	338	2	2	41	198	merca201	merca221	7900	120	345	24	246	18	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	PalMercEXST3X	30	Jab	14	120	4	9	10	Might	1	10	0	7	8																									5	15	2	50000
Desert Mercenary	Off-Nightmare	0	11	338	2	2	65	198	merca201	merca221	7900	120	885	39	678	27	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	PalMercEXST3X	30	Jab	14	144	4	17	0	Might	1	10	0	13	8																									5	15	2	50000
Desert Mercenary	Comb-Hell	0	12	338	2	3	65	198	merca201	merca221	15000	130	795	39	612	27	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	PalMercEXST4X	30	Jab	14	104	4	16	10	Prayer	1	10	0	16	0																									5	15	2	50000
Desert Mercenary	Def-Hell	0	13	338	2	3	65	198	merca201	merca221	15000	130	795	39	612	27	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	PalMercExST1X	30	Jab	14	104	4	16	0	Defiance	1	10	0	16	0																									5	15	2	50000
Desert Mercenary	Off-Hell	0	14	338	2	3	65	198	merca201	merca221	15000	130	795	39	612	27	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	PalMercEXST3X	30	Jab	14	104	4	16	0	Blessed Aim	1	10	0	16	0																									5	15	2	50000
Desert Mercenary	Comb-Normal	100	6	338	2	1	19	198	merca201	merca221	350	110	360	18	51	12	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	PalMercEXST4X	30	Jab	14	70	4	3	10	Prayer	1	10	0	3	7	Charged Strike	4	0	0	0	0	Lightning Strike	4	0	0	0	0													5	15	2	50000
Desert Mercenary	Comb-Normal	100	6	338	2	1	46	198	merca201	merca221	350	110	708	30	471	21	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	PalMercEXST4X	30	Jab	14	104	4	14	10	Prayer	1	10	0	11	7	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													5	15	2	50000
Desert Mercenary	Comb-Normal	100	6	338	2	1	71	198	merca201	merca221	350	110	1608	45	1155	30	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	PalMercEXST4X	30	Jab	14	136	4	24	10	Prayer	1	10	0	18	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													5	15	2	50000
Desert Mercenary	Def-Normal	100	7	338	2	1	19	198	merca201	merca221	350	110	360	18	51	12	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	PalMercExST1X	30	Jab	14	70	4	3	10	Defiance	1	10	0	3	7	Charged Strike	4	0	0	0	0	Lightning Strike	4	0	0	0	0													5	15	2	50000
Desert Mercenary	Def-Normal	100	7	338	2	1	42	198	merca201	merca221	350	110	708	30	471	21	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	PalMercExST1X	30	Jab	14	104	4	14	10	Defiance	1	10	0	11	7	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													5	15	2	50000
Desert Mercenary	Def-Normal	100	7	338	2	1	71	198	merca201	merca221	350	110	1608	45	1155	30	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	PalMercExST1X	30	Jab	14	136	4	24	0	Defiance	1	10	0	18	0	Charged Strike	4	14	2	18	0	Lightning Strike	4	55	7	12	16													5	15	2	50000
Desert Mercenary	Off-Normal	100	8	338	2	1	19	198	merca201	merca221	350	110	360	18	51	12	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	PalMercEXST3X	30	Jab	14	70	4	3	10	Blessed Aim	1	10	0	3	7	Charged Strike	4	0	0	0	0	Lightning Strike	4	0	0	0	0													5	15	2	50000
Desert Mercenary	Off-Normal	100	8	338	2	1	42	198	merca201	merca221	350	110	708	30	471	21	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	PalMercEXST3X	30	Jab	14	104	4	14	10	Blessed Aim	1	10	0	11	7	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													5	15	2	50000
Desert Mercenary	Off-Normal	100	8	338	2	1	71	198	merca201	merca221	350	110	1608	45	1155	30	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	PalMercEXST3X	30	Jab	14	136	4	24	0	Blessed Aim	1	10	0	18	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													5	15	2	50000
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	42	198	merca201	merca221	7900	120	636	30	426	21	113	14	87	12	385	24	22	29	6	83	7	83	7	83	7	83	7	PalMercEXST4X	30	Jab	14	120	4	13	10	Thorns	1	10	0	5	10	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													5	15	2	50000
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	71	198	merca201	merca221	7900	120	1536	45	1110	30	169	14	135	12	1153	36	46	53	8	139	4	139	4	139	4	139	4	PalMercEXST4X	30	Jab	14	152	4	23	10	Thorns	1	10	0	15	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													5	15	2	50000
Desert Mercenary	Def-Nightmare	100	10	338	2	2	42	198	merca201	merca221	7900	120	636	30	426	21	113	14	87	12	385	24	22	29	6	83	7	83	7	83	7	83	7	PalMercExST1X	30	Jab	14	120	4	13	10	Holy Freeze	1	10	0	6	10	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													5	15	2	50000
Desert Mercenary	Def-Nightmare	100	10	338	2	2	71	198	merca201	merca221	7900	120	1536	45	1110	30	169	14	135	12	1153	36	46	53	8	139	4	139	4	139	4	139	4	PalMercExST1X	30	Jab	14	152	4	23	0	Holy Freeze	1	10	0	16	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													5	15	2	50000
Desert Mercenary	Off-Nightmare	100	11	338	2	2	42	198	merca201	merca221	7900	120	636	30	426	21	113	14	87	12	385	24	22	29	6	83	7	83	7	83	7	83	7	PalMercEXST3X	30	Jab	14	120	4	13	10	Might	1	10	0	7	8	Charged Strike	4	70	3	8	10	Lightning Strike	4	0	0	0	0													5	15	2	50000
Desert Mercenary	Off-Nightmare	100	11	338	2	2	71	198	merca201	merca221	7900	120	1536	45	1110	30	169	14	135	12	1153	36	46	53	8	139	4	139	4	139	4	139	4	PalMercEXST3X	30	Jab	14	152	4	23	0	Might	1	10	0	15	8	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													5	15	2	50000
Desert Mercenary	Comb-Hell	100	12	338	2	3	71	198	merca201	merca221	15000	130	1383	45	996	30	165	14	131	12	1038	36	44	51	8	136	4	136	4	136	4	136	4	PalMercEXST4X	30	Jab	14	104	4	22	10	Fanaticism	1	10	0	16	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													5	15	2	50000
Desert Mercenary	Def-Hell	100	13	338	2	3	71	198	merca201	merca221	15000	130	1383	45	996	30	165	14	131	12	1038	36	44	51	8	136	4	136	4	136	4	136	4	PalMercExST1X	30	Jab	14	104	4	22	0	Salvation	1	10	0	16	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													5	15	2	50000
Desert Mercenary	Off-Hell	100	14	338	2	3	71	198	merca201	merca221	15000	130	1383	45	996	30	165	14	131	12	1038	36	44	51	8	136	4	136	4	136	4	136	4	PalMercEXST3X	30	Jab	14	104	4	22	0	Conviction	1	10	0	16	0	Charged Strike	4	104	2	18	0	Lightning Strike	4	55	7	12	16													5	15	2	50000
Eastern Sorceror	Fire-Normal	0	15	359	3	1	25	252	merca222	merca241	1000	110	180	9	90	6	49	10	40	8	15	10	1	7	4	25	7	25	7	25	7	25	7	strhirespecial7	10	Inferno	7	60	0	6	10	Fire Ball	7	30	0	4	10																									5	15	2	50000
Eastern Sorceror	Fire-Normal	0	15	359	3	1	47	252	merca222	merca241	1000	110	378	15	189	12	77	10	62	8	235	20	12	18	4	64	7	64	7	64	7	64	7	strhirespecial7	10	Inferno	7	60	0	13	10	Fire Ball	7	30	0	11	10																									5	15	2	50000
Eastern Sorceror	Fire-Normal	0	15	359	3	1	77	252	merca222	merca241	1000	110	756	24	459	21	107	10	86	8	715	30	24	30	4	106	6	106	6	106	6	106	6	strhirespecial7	10	Inferno	7	60	0	21	10	Fire Ball	7	30	0	19	10																									5	15	2	50000
Eastern Sorceror	Cold-Normal	0	16	359	3	1	25	252	merca222	merca241	1500	120	180	9	90	6	49	10	40	8	15	10	1	7	4	25	7	25	7	25	7	25	7	strhirespecial6	10	Glacial Spike	7	60	0	1	5	Frozen Armor	7	1000	0	2	10	Ice Blast	7	240	0	6	10																			5	15	2	50000
Eastern Sorceror	Cold-Normal	0	16	359	3	1	47	252	merca222	merca241	1500	120	378	15	189	12	77	10	62	8	235	20	12	18	4	64	7	64	7	64	7	64	7	strhirespecial6	10	Glacial Spike	7	60	0	5	5	Frozen Armor	7	1000	0	9	10	Ice Blast	7	240	0	13	10																			5	15	2	50000
Eastern Sorceror	Cold-Normal	0	16	359	3	1	77	252	merca222	merca241	1500	120	756	24	459	18	107	10	86	8	715	30	24	30	4	106	4	106	4	106	4	106	4	strhirespecial6	10	Glacial Spike	7	60	0	9	5	Frozen Armor	7	1000	0	17	10	Ice Blast	7	240	0	21	10																			5	15	2	50000
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	25	252	merca222	merca241	1000	110	180	9	90	6	49	10	40	8	15	10	1	7	4	25	7	25	7	25	7	25	7	strhirespecial5	10	Charged Bolt	7	60	0	4	5	Lightning	7	30	0	3	10																									5	15	2	50000
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	47	252	merca222	merca241	1000	110	378	15	189	12	77	10	62	8	235	20	12	18	4	64	7	64	7	64	7	64	7	strhirespecial5	10	Charged Bolt	7	60	0	8	5	Lightning	7	30	0	10	10																									5	15	2	50000
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	77	252	merca222	merca241	1000	110	756	24	459	18	107	10	86	8	715	30	24	30	4	106	4	106	4	106	4	106	4	strhirespecial5	10	Charged Bolt	7	60	0	12	5	Lightning	7	30	0	18	10																									5	15	2	50000
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	47	252	merca222	merca241	9500	120	339	15	168	12	73	10	58	8	212	20	10	16	4	61	7	61	7	61	7	61	7	strhirespecial7	10	Inferno	7	60	0	12	10	Fire Ball	7	30	0	10	10																									5	15	2	50000
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	77	252	merca222	merca241	9500	120	717	24	438	18	103	10	82	8	692	30	22	28	4	103	4	103	4	103	4	103	4	strhirespecial7	10	Inferno	7	60	0	20	10	Fire Ball	7	30	0	18	10																									5	15	2	50000
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	47	252	merca222	merca241	12000	130	339	15	168	12	73	10	58	8	212	20	10	16	4	61	7	61	7	61	7	61	7	strhirespecial6	10	Glacial Spike	7	60	0	4	5	Frozen Armor	7	1000	0	8	10	Ice Blast	7	240	0	12	10																			5	15	2	50000
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	77	252	merca222	merca241	12000	130	717	24	438	18	103	10	82	8	692	30	22	28	4	103	4	103	4	103	4	103	4	strhirespecial6	10	Glacial Spike	7	60	0	8	5	Frozen Armor	7	1000	0	16	10	Ice Blast	7	240	0	20	10																			5	15	2	50000
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	47	252	merca222	merca241	10000	120	339	15	168	12	73	10	58	8	212	20	10	16	4	61	7	61	7	61	7	61	7	strhirespecial5	10	Charged Bolt	7	60	0	7	5	Lightning	7	30	0	9	10																									5	15	2	50000
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	77	252	merca222	merca241	10000	120	717	24	438	18	103	10	82	8	692	30	22	28	4	103	4	103	4	103	4	103	4	strhirespecial5	10	Charged Bolt	7	60	0	11	5	Lightning	7	30	0	17	10																									5	15	2	50000
Eastern Sorceror	Fire-Hell	0	21	359	3	3	77	252	merca222	merca241	21000	130	645	24	396	18	99	10	78	8	623	30	20	26	4	100	4	100	4	100	4	100	4	strhirespecial7	10	Inferno	7	60	0	19	10	Fire Ball	7	30	0	17	10																									5	15	2	50000
Eastern Sorceror	Cold-Hell	0	22	359	3	3	77	252	merca222	merca241	27000	140	645	24	396	18	99	10	78	8	623	30	20	26	4	100	4	100	4	100	4	100	4	strhirespecial6	10	Glacial Spike	7	60	0	7	5	Frozen Armor	7	1000	0	15	10	Ice Blast	7	240	0	19	10																			5	15	2	50000
Eastern Sorceror	Ltng-Hell	0	23	359	3	3	77	252	merca222	merca241	21000	130	645	24	396	18	99	10	78	8	623	30	20	27	4	100	4	100	4	100	4	100	4	strhirespecial5	10	Charged Bolt	7	60	0	10	5	Lightning	7	30	0	16	10																									5	15	2	50000
Eastern Sorceror	Fire-Normal	100	15	359	3	1	25	252	merca222	merca241	1000	110	300	12	150	6	49	10	40	8	15	12	1	7	4	25	7	25	7	25	7	25	7	strhirespecial7	10	Fire Bolt	7	30	0	2	10	Fire Ball	7	30	0	4	10	Fire Wall	7	30	0	4	10	Meteor	7	0	0	4	10	Hydra	7	0	0	0	0	Fire Mastery	10	0	0	0	0	5	15	2	50000
Eastern Sorceror	Fire-Normal	100	15	359	3	1	50	252	merca222	merca241	1000	110	525	21	282	15	92	10	74	8	423	24	18	24	4	85	7	85	7	85	7	85	7	strhirespecial7	10	Fire Bolt	7	30	0	13	10	Fire Ball	7	30	0	14	10	Fire Wall	7	30	0	14	10	Meteor	7	30	0	14	10	Hydra	7	30	4	8	10	Fire Mastery	10	0	0	0	0	5	15	2	50000
Eastern Sorceror	Fire-Normal	100	15	359	3	1	77	252	merca222	merca241	1000	110	1131	30	720	30	130	10	104	8	1143	36	33	39	4	138	6	138	6	138	6	138	6	strhirespecial7	10	Fire Bolt	7	30	0	23	10	Fire Ball	7	30	0	24	10	Fire Wall	7	30	0	24	10	Meteor	7	30	0	24	10	Hydra	7	30	4	18	10	Fire Mastery	10	0	0	6	32	5	15	2	50000
